TransactionID,CustomerID,ProductID,Updated_Transaction_date,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,RefundedAmount,Updated_shipping_date,Updated_delivery_date,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType,TransactionType
Txn_15,Cust_3565,Prod_31,05-08-2024,5,96.76,276.63,Cash,2,5,,"1906 Sophia Stream Suite 795 Brandymouth, AR 28948",0.3,49.88,23-10-2024,30-04-2024,12-07-2024,19-08-2024,1.4,50,TRUE,17.32,In-Store,In-Store
Txn_16,Cust_7490,Prod_7,27-04-2024,5,50.53,276.63,Credit Card,2,7.53,Completed,"2207 Owen Prairie Houstonbury, NH 74653",12.41,49.88,23-10-2024,23-10-2024,17-05-2024,06-03-2024,2.7,23,TRUE,25.37,In-Store,In-Store
Txn_17,Cust_3379,Prod_7,23-10-2024,5,48.07,276.63,Debit Card,3,7.53,,"79676 Small Alley Corystad, KS 02268",4.96,57.07,23-10-2024,27-05-2024,01-10-2024,25-07-2024,3,50,TRUE,25.37,Other,
Txn_18,Cust_7068,Prod_35,23-10-2024,2,50.53,276.63,Other,1,15.21,,"PSC 4180, Box 1147 APO AA 91064",5.86,49.88,03-02-2024,23-10-2024,28-09-2024,26-06-2024,2,41,TRUE,25.37,Other,
Txn_19,Cust_3000,Prod_7,23-10-2024,5,72.26,276.63,Other,2,7.53,Pending,"618 Scott Streets Suite 807 South Judith, CA 71345",7.7,42.29,22-08-2024,23-10-2024,25-09-2024,23-09-2024,2.5,96,FALSE,37.34,Other,
Txn_20,Cust_3132,Prod_35,23-10-2024,2,50.53,276.63,Online Payment,1,10.94,Pending,"08782 Davis Gardens Juanhaven, IL 50761",12.64,49.88,24-05-2024,23-10-2024,29-01-2024,25-02-2024,3,95,FALSE,25.37,In-Store,In-Store
Txn_21,Cust_5966,Prod_9,03-07-2024,5,50.53,276.63,Credit Card,1,15.47,Pending,"74115 Jessica Curve Jonesmouth, WV 74947",9.61,28.23,23-10-2024,23-10-2024,19-01-2024,28-04-2024,3,81,TRUE,44.88,Online,Online
Txn_22,Cust_1584,Prod_49,23-10-2024,5,31.44,276.63,Cash,2,7.53,Failed,"PSC 7889, Box 4358 APO AA 45890",7.45,49.88,23-10-2024,23-10-2024,18-05-2024,20-01-2024,4.8,14,TRUE,25.57,In-Store,In-Store
Txn_23,Cust_3127,Prod_29,11-04-2024,2,34.4,68.8,Debit Card,1,5,Failed,"48486 Stewart Valley Apt. 061 East Dakotaport, FM 55117",4.1,49.88,09-09-2024,28-04-2024,25-09-2024,22-04-2024,3,91,TRUE,25.37,In-Store,In-Store
Txn_24,Cust_6853,Prod_6,10-04-2024,5,50.53,276.63,Credit Card,3,4.08,,"45088 Zachary Union Harrishaven, IL 32827",9.41,55.89,06-07-2024,25-06-2024,20-01-2024,24-08-2024,3,50,FALSE,26.61,In-Store,In-Store
Txn_25,Cust_993,Prod_18,23-10-2024,10,50.53,276.63,Credit Card,3,5,Failed,"48517 Roman Mountain Suite 164 New Mark, IL 96735",7.45,49.81,23-10-2024,13-08-2024,18-06-2024,16-04-2024,4,50,TRUE,47.1,Other,
Txn_26,Cust_4444,Prod_37,09-10-2024,5,50.53,276.63,Cash,1,7.53,,"2260 Vincent Lakes Suite 422 Krystalfurt, WV 98110",5.73,49.88,01-04-2024,17-01-2024,29-08-2024,22-04-2024,3,14,FALSE,29.85,In-Store,In-Store
Txn_27,Cust_3996,Prod_13,03-04-2024,5,50.53,276.63,Credit Card,1,7.53,Pending,"825 Anna Passage Suite 850 Christyshire, GU 90622",14.44,73.13,03-06-2024,23-10-2024,15-09-2024,08-03-2024,3,50,TRUE,31.05,In-Store,In-Store
Txn_28,Cust_1311,Prod_46,23-10-2024,5,96.04,276.63,Online Payment,3,5,Failed,"1594 Theresa Tunnel Apt. 049 Wilsonbury, CT 69924",11.43,49.88,02-02-2024,23-10-2024,28-06-2024,07-02-2024,1.9,50,TRUE,22.6,Other,
Txn_29,Cust_1526,Prod_16,30-09-2024,3,50.53,276.63,Credit Card,1,14.14,Pending,"6630 Booker Loaf Kristatown, SD 61487",7.45,49.88,23-10-2024,29-01-2024,22-03-2024,18-07-2024,3,50,FALSE,25.37,Online,Online
Txn_30,Cust_1460,Prod_26,23-10-2024,5,56.46,276.63,Online Payment,2,5,Failed,"895 Austin Shoal Derekshire, FM 01611",7.45,49.88,22-02-2024,23-10-2024,01-01-2024,24-09-2024,3,1,FALSE,25.37,In-Store,In-Store
Txn_31,Cust_4502,Prod_35,23-10-2024,10,87.67,876.7,Cash,1,5,Completed,"1638 Lee Trail Suite 554 South Brandon, MI 11372",5.21,83.19,23-10-2024,13-10-2024,27-09-2024,10-02-2024,1.2,50,TRUE,25.37,Online,Online
Txn_32,Cust_3659,Prod_25,18-02-2024,5,50.53,276.63,Debit Card,2,5,,"67933 Young Lodge Hicksfort, MN 80370",7.45,14.96,23-10-2024,09-02-2024,07-05-2024,30-01-2024,4.4,50,FALSE,12.63,In-Store,In-Store
Txn_33,Cust_3161,Prod_32,30-08-2024,5,50.53,276.63,Debit Card,3,1.67,Failed,"534 Hughes Mountains Apt. 070 Edwardsfort, ME 15766",1.35,49.88,14-07-2024,13-02-2024,05-06-2024,06-10-2024,3,68,FALSE,14.54,Other,
Txn_34,Cust_5814,Prod_4,11-10-2024,5,70.2,276.63,Credit Card,3,15.42,Pending,"9766 Jimmy River Suite 314 Port Nathanielview, OR 19406",8.87,44.65,04-01-2024,03-04-2024,30-08-2024,15-05-2024,1.2,50,FALSE,25.37,Other,
Txn_35,Cust_6649,Prod_2,23-10-2024,8,69.21,553.68,Cash,2,11.36,Completed,"2409 Miller Forge New Mercedesport, PR 62237",5.96,90.92,23-10-2024,22-03-2024,29-09-2024,03-08-2024,4.4,50,TRUE,25.37,In-Store,In-Store
Txn_36,Cust_4378,Prod_6,23-10-2024,4,25.81,103.24,Other,3,0.32,Pending,"3814 Gutierrez Mills West Joseph, ID 22482",4.29,49.88,02-02-2024,28-09-2024,18-04-2024,22-04-2024,1,50,FALSE,39.1,Online,Online
Txn_37,Cust_720,Prod_45,23-10-2024,5,50.53,276.63,Online Payment,2,9.49,Pending,"501 Powell Forges Apt. 085 New Aaron, MD 43679",6.87,49.58,24-08-2024,23-10-2024,20-02-2024,04-02-2024,4.8,99,TRUE,26.79,In-Store,In-Store
Txn_38,Cust_1141,Prod_20,29-06-2024,5,37.88,276.63,Credit Card,2,9.65,Pending,"913 West Lights Suite 918 Barryview, MD 73877",7.45,37.24,02-10-2024,09-08-2024,14-09-2024,02-01-2024,2.1,50,TRUE,42.28,Online,Online
Txn_39,Cust_1975,Prod_38,23-10-2024,3,50.53,276.63,Cash,2,12.66,Completed,"13351 Powell Lodge Danielfurt, VA 28270",11.24,49.88,23-10-2024,20-06-2024,31-01-2024,14-09-2024,4,50,TRUE,13.86,Other,
Txn_40,Cust_2784,Prod_34,23-10-2024,3,50.53,276.63,Online Payment,2,5,Completed,"1890 Garcia Falls Apt. 093 Thomasburgh, SD 27691",7.45,82.75,23-10-2024,19-09-2024,07-02-2024,17-06-2024,3,50,FALSE,25.37,Other,
Txn_41,Cust_8053,Prod_34,05-08-2024,7,50.53,276.63,Other,3,7.53,Pending,"432 Ralph Burg New Tracyton, MA 65026",3.36,49.88,18-09-2024,28-03-2024,13-01-2024,20-07-2024,4.1,29,FALSE,7.6,Other,
Txn_42,Cust_8082,Prod_23,23-10-2024,4,50.53,276.63,Cash,3,7.53,Pending,"66784 Rachel Orchard Apt. 164 Kellerton, AZ 07480",7,49.88,21-04-2024,15-04-2024,07-03-2024,28-04-2024,3,4,TRUE,25.37,Online,Online
Txn_43,Cust_8633,Prod_48,23-10-2024,2,60.53,121.06,Online Payment,2,5,,"9566 Michael Glens Suite 512 Lake Caleb, VI 89822",7.03,49.88,23-10-2024,03-10-2024,01-10-2024,08-10-2024,3.9,50,FALSE,25.37,Online,Online
Txn_44,Cust_1492,Prod_1,23-10-2024,4,82.29,329.16,Other,1,17.2,,"859 Wall Summit Suite 880 Matthewmouth, MO 05343",7.45,49.88,15-04-2024,13-07-2024,08-05-2024,25-05-2024,2.3,50,FALSE,16.54,Other,
Txn_45,Cust_2189,Prod_25,02-05-2024,5,82.5,276.63,Other,3,0.64,Failed,"611 Rocha Via Suite 094 North Josephmouth, OK 78248",7.45,49.88,29-05-2024,21-09-2024,30-03-2024,17-08-2024,3,72,TRUE,3.38,Other,
Txn_46,Cust_6059,Prod_14,02-09-2024,5,23.47,276.63,Other,2,5,,"9514 Moreno Cliff Apt. 885 South Mark, NY 40691",7.45,10.82,23-10-2024,04-08-2024,24-04-2024,26-08-2024,1.1,50,TRUE,40.7,In-Store,In-Store
Txn_47,Cust_3798,Prod_45,23-10-2024,3,17.06,51.18,Debit Card,2,7.53,Failed,"206 Jay Well North Annaview, HI 51695",7.45,49.88,23-10-2024,23-10-2024,22-05-2024,25-04-2024,4.2,25,FALSE,20.57,Online,Online
Txn_48,Cust_342,Prod_26,23-10-2024,5,50.53,276.63,Online Payment,1,5,Completed,"66277 David Roads Nicoleburgh, MD 21114",3.1,49.88,02-06-2024,23-10-2024,30-08-2024,02-10-2024,3.6,50,TRUE,34.39,Online,Online
Txn_49,Cust_2744,Prod_26,12-05-2024,5,11.53,276.63,Debit Card,2,5,Completed,"1637 Johnston Locks Hallchester, GA 61916",13.44,49.88,23-10-2024,17-09-2024,27-08-2024,06-04-2024,3,18,FALSE,25.37,Online,Online
Txn_50,Cust_4718,Prod_27,23-02-2024,1,45.98,45.98,Debit Card,1,6.09,Pending,USNS Cannon FPO AA 56154,7.45,49.88,23-05-2024,23-10-2024,03-10-2024,28-01-2024,3,8,FALSE,25.37,In-Store,In-Store
Txn_51,Cust_5852,Prod_39,23-10-2024,6,77.71,466.26,Cash,3,7.53,Failed,"46210 Bianca Shoals North Melissaport, LA 09964",1.1,84,23-10-2024,23-10-2024,21-06-2024,29-04-2024,4.9,50,FALSE,25.37,Other,
Txn_52,Cust_4834,Prod_46,23-10-2024,5,50.53,276.63,Online Payment,3,1.81,Pending,"577 Wright Mountains Chasefurt, CO 51007",7.45,65.16,23-10-2024,08-10-2024,05-09-2024,21-07-2024,3,50,FALSE,35.02,In-Store,In-Store
Txn_53,Cust_6371,Prod_13,23-10-2024,8,50.53,276.63,Cash,3,16.18,Pending,"335 Shelby Oval Smithside, WI 78944",7.45,10.54,07-05-2024,06-09-2024,26-04-2024,09-10-2024,3,50,TRUE,28.53,In-Store,In-Store
Txn_54,Cust_3149,Prod_8,21-08-2024,5,50.53,276.63,Other,1,7.53,Completed,"049 Brandon Crest Suite 042 South Bryan, MO 58114",7.45,49.88,23-10-2024,21-09-2024,22-01-2024,13-03-2024,3,76,TRUE,25.37,Online,Online
Txn_55,Cust_5953,Prod_20,23-10-2024,9,50.53,276.63,Cash,1,7.53,Pending,"326 John Stream Apt. 811 West Lindaton, MH 88420",11.1,27.3,23-10-2024,23-10-2024,28-06-2024,06-03-2024,3,50,TRUE,7.39,Other,
Txn_56,Cust_2823,Prod_28,09-06-2024,5,50.53,276.63,Cash,2,7.53,Completed,"97222 Tanya Crossroad Suite 105 Susanmouth, MI 26662",7.45,49.88,18-06-2024,28-07-2024,29-05-2024,29-04-2024,3,50,FALSE,47.34,Online,Online
Txn_57,Cust_8789,Prod_41,19-06-2024,2,50.53,276.63,Online Payment,3,13.46,Failed,"2121 Smith Mountains Suite 552 East Trevorville, CO 02512",7.45,49.88,23-10-2024,23-10-2024,01-06-2024,15-03-2024,3.6,84,TRUE,25.37,Online,Online
Txn_58,Cust_6619,Prod_27,03-07-2024,1,62.19,62.19,Online Payment,2,7.53,Completed,"40191 Young Fork Kellyview, MA 83492",7.45,70.54,23-10-2024,23-10-2024,18-04-2024,26-09-2024,3,63,TRUE,16.62,In-Store,In-Store
Txn_59,Cust_6873,Prod_8,03-05-2024,5,91.22,276.63,Cash,3,5,,"685 Carol Valley Rogersshire, PR 82167",5.59,49.88,23-10-2024,08-03-2024,12-04-2024,08-06-2024,1.3,62,FALSE,25.37,In-Store,In-Store
Txn_60,Cust_200,Prod_21,23-10-2024,8,50.53,276.63,Debit Card,2,7.53,Completed,"424 Kathleen Passage Apt. 399 South Brenda, FL 81085",7.09,3.05,23-10-2024,15-02-2024,29-07-2024,02-05-2024,1.7,16,TRUE,25.37,In-Store,In-Store
Txn_61,Cust_6836,Prod_14,06-08-2024,8,19.31,154.48,Cash,3,7.53,Pending,"PSC 9850, Box 5229 APO AE 63550",10.45,55.24,23-10-2024,13-02-2024,31-08-2024,22-08-2024,3,50,TRUE,23.88,In-Store,In-Store
Txn_62,Cust_3571,Prod_45,18-05-2024,5,65.19,276.63,Credit Card,2,7.53,Pending,"41474 Melendez Pass Apt. 563 Butlerport, HI 01102",7.12,90.31,23-10-2024,23-10-2024,10-06-2024,04-05-2024,3,57,FALSE,18.01,Other,
Txn_63,Cust_9423,Prod_19,14-09-2024,6,21.74,130.44,Online Payment,1,7.53,Pending,"71665 Donald Dale New Theresachester, NY 24903",7.45,74.18,23-10-2024,23-10-2024,16-01-2024,16-02-2024,3,50,TRUE,36.39,Other,
Txn_64,Cust_6898,Prod_24,14-04-2024,3,50.53,276.63,Other,2,7.53,Completed,"5215 Laura Well East Julianside, NE 27462",6.12,24.23,12-02-2024,23-02-2024,27-09-2024,28-03-2024,3,50,FALSE,25.37,Online,Online
Txn_65,Cust_7420,Prod_11,13-08-2024,5,50.53,276.63,Cash,1,14.27,,"881 Hobbs View Bauerview, KY 83820",7.45,25.59,23-10-2024,23-10-2024,25-02-2024,08-10-2024,3,57,TRUE,28.41,Other,
Txn_66,Cust_4595,Prod_24,23-10-2024,10,67.89,678.9,Debit Card,2,7.53,Completed,"PSC 3204, Box 0816 APO AP 81980",8.32,60.52,18-03-2024,04-03-2024,15-10-2024,02-08-2024,3,51,TRUE,6.94,Online,Online
Txn_67,Cust_4963,Prod_30,25-03-2024,5,40.3,276.63,Credit Card,1,5,Completed,"457 Erica Forges Apt. 734 Sandersfurt, NH 56332",12.7,49.88,25-06-2024,31-03-2024,26-07-2024,07-01-2024,4.9,82,TRUE,25.37,Online,Online
Txn_68,Cust_6524,Prod_36,23-10-2024,5,82.35,276.63,Online Payment,2,4.42,Failed,"3403 Jennifer Camp Suite 121 New Jimmy, ID 52042",8.11,84.33,23-10-2024,23-10-2024,20-07-2024,07-03-2024,4.6,55,FALSE,25.37,Online,Online
Txn_69,Cust_8901,Prod_15,23-10-2024,5,50.53,276.63,Other,2,19.4,Failed,"190 Watson Mills Tonyaland, NH 12859",4.84,38.43,21-07-2024,23-10-2024,03-07-2024,08-09-2024,2.6,50,FALSE,9.05,In-Store,In-Store
Txn_70,Cust_3420,Prod_48,23-10-2024,5,50.53,276.63,Cash,2,8.41,Failed,"94708 Sosa Locks Apt. 703 Sherryborough, MS 72506",0.77,49.88,30-03-2024,23-10-2024,01-01-2024,04-09-2024,3,19,FALSE,33.01,In-Store,In-Store
Txn_71,Cust_2952,Prod_47,23-10-2024,5,50.53,276.63,Debit Card,1,7.53,Failed,"887 Martinez Rest Suite 782 Joshuamouth, WY 85170",14.58,93.43,23-10-2024,14-03-2024,22-02-2024,30-04-2024,3,50,FALSE,25.37,In-Store,In-Store
Txn_72,Cust_4478,Prod_19,16-01-2024,5,50.53,276.63,Cash,2,7.53,,"43073 Simmons Terrace Suite 723 East Michael, WI 03558",7.45,57.87,23-08-2024,28-01-2024,26-02-2024,15-03-2024,3,50,TRUE,25.37,Other,
Txn_73,Cust_2052,Prod_43,16-01-2024,5,93.11,276.63,Other,1,7.53,Completed,"970 Brent Summit Apt. 133 Beanberg, CO 74393",4.4,53.13,23-10-2024,14-05-2024,11-07-2024,19-04-2024,3,93,TRUE,25.37,Online,Online
Txn_74,Cust_67,Prod_19,02-06-2024,9,52.08,468.72,Online Payment,3,5,Completed,"888 Joseph Mill Suite 710 North Michael, SD 64233",1.83,69.72,23-10-2024,23-10-2024,20-02-2024,22-05-2024,3,36,TRUE,25.37,In-Store,In-Store
Txn_75,Cust_7310,Prod_17,23-10-2024,5,9.55,276.63,Cash,2,5,Pending,"150 Cameron Rue New Russellland, LA 19207",7.45,49.88,01-10-2024,26-08-2024,18-06-2024,22-09-2024,3.6,71,TRUE,14.16,In-Store,In-Store
Txn_76,Cust_5359,Prod_43,28-05-2024,4,50.53,276.63,Credit Card,2,7.53,Pending,"PSC 9243, Box 9358 APO AE 67101",12.2,49.88,23-10-2024,23-10-2024,12-07-2024,29-01-2024,4.1,50,FALSE,18.66,Online,Online
Txn_77,Cust_1208,Prod_3,10-02-2024,5,50.53,276.63,Credit Card,3,9.24,,Unit 7367 Box 3974 DPO AA 76399,9.87,49.37,23-10-2024,23-10-2024,27-01-2024,08-10-2024,1,50,FALSE,25.37,In-Store,In-Store
Txn_78,Cust_5332,Prod_30,18-03-2024,5,46.73,233.65,Other,3,7.53,Completed,"118 Nelson Drive West Ruthview, HI 92902",7.45,49.88,05-02-2024,18-01-2024,22-07-2024,26-08-2024,3,31,TRUE,44.94,In-Store,In-Store
Txn_79,Cust_281,Prod_6,20-01-2024,5,50.53,276.63,Debit Card,2,5,Pending,"097 Derrick Springs Suite 313 South David, PR 38624",7.45,49.88,23-10-2024,23-10-2024,16-01-2024,13-03-2024,3,0,TRUE,10.42,In-Store,In-Store
Txn_80,Cust_3482,Prod_12,29-08-2024,9,58.57,527.13,Other,3,7.53,Completed,Unit 0989 Box 8514 DPO AP 70346,14.24,49.88,23-06-2024,02-06-2024,22-09-2024,30-08-2024,3.3,88,FALSE,25.37,Online,Online
Txn_81,Cust_5790,Prod_42,23-10-2024,9,38.81,349.29,Cash,3,7.53,Failed,"2472 Huynh Parkway Stanleyborough, WI 73945",14.98,49.88,18-06-2024,30-04-2024,04-09-2024,06-02-2024,3.4,50,FALSE,25.37,Other,
Txn_82,Cust_3051,Prod_24,23-10-2024,1,50.53,276.63,Cash,2,5,Failed,"20848 Guerra Plains Apt. 311 North Jimmy, CA 96971",7.45,49.88,23-10-2024,19-09-2024,11-08-2024,09-01-2024,3,50,TRUE,25.37,Online,Online
Txn_83,Cust_3695,Prod_12,11-08-2024,5,24.96,276.63,Other,3,16.54,Completed,"27837 Webb Avenue Suite 628 Gonzalezstad, RI 99366",7.45,88.53,27-09-2024,23-10-2024,14-09-2024,20-04-2024,4.8,50,TRUE,44.71,In-Store,In-Store
Txn_84,Cust_6875,Prod_11,11-07-2024,2,70.92,141.84,Credit Card,3,7.53,,"7142 Burke Ways Suite 328 Allisonmouth, MS 46906",13.05,49.88,23-02-2024,23-10-2024,05-06-2024,03-09-2024,3,50,TRUE,16.82,In-Store,In-Store
Txn_85,Cust_1166,Prod_38,20-05-2024,5,32.43,276.63,Credit Card,2,5,Completed,"0621 Brian Neck Suite 044 Amandachester, DC 81874",14.35,81.6,01-05-2024,12-08-2024,22-03-2024,23-02-2024,3,50,TRUE,17.44,Other,
Txn_86,Cust_4748,Prod_39,23-10-2024,8,81.71,653.68,Debit Card,2,7.53,Pending,"7844 Sally Bypass Suite 711 East Paula, CO 13314",7.45,49.88,23-10-2024,21-03-2024,01-03-2024,02-04-2024,3,83,FALSE,25.37,Online,Online
Txn_87,Cust_4375,Prod_22,23-10-2024,9,50.33,452.97,Cash,2,5,,"5497 David Plaza Suite 079 New Pamelaport, MA 35960",5.2,49.88,15-02-2024,04-10-2024,05-10-2024,30-01-2024,1.9,48,FALSE,3.93,Other,
Txn_88,Cust_706,Prod_40,17-01-2024,5,63.38,276.63,Cash,1,9.3,,"292 Jackson Mount Suite 944 North Kevinmouth, PW 26869",13.8,49.88,23-10-2024,29-09-2024,12-09-2024,05-01-2024,3,50,TRUE,9.88,Other,
Txn_89,Cust_7802,Prod_31,23-10-2024,5,5.25,276.63,Credit Card,2,7.53,Failed,"466 Christy Plains West Aaronborough, AL 70939",7.14,49.88,23-10-2024,13-02-2024,15-01-2024,21-07-2024,3,50,FALSE,37.35,Online,Online
Txn_90,Cust_269,Prod_48,23-10-2024,5,57.71,276.63,Other,1,5,Failed,"13198 Alexander Hollow Apt. 381 Martinburgh, GA 33848",7.45,49.88,13-08-2024,23-10-2024,11-05-2024,29-02-2024,3,50,FALSE,25.37,Other,
Txn_91,Cust_9768,Prod_18,23-10-2024,5,71.07,276.63,Online Payment,2,7.59,Completed,"9143 Webb Viaduct Suite 840 New Michaelmouth, IL 69325",7.45,87.47,13-02-2024,11-05-2024,24-04-2024,27-02-2024,1.2,72,TRUE,25.82,Other,
Txn_92,Cust_8086,Prod_30,07-03-2024,5,50.53,276.63,Online Payment,1,10.58,Completed,"34990 Richard Plain Suite 213 West Danielmouth, NY 94277",3.66,49.88,10-06-2024,23-10-2024,06-06-2024,27-03-2024,2.2,23,TRUE,25.37,In-Store,In-Store
Txn_93,Cust_5812,Prod_50,23-10-2024,5,50.53,276.63,Online Payment,1,16.66,Failed,USS Williams FPO AE 78397,7.45,56.07,16-02-2024,23-10-2024,04-01-2024,28-01-2024,4.3,14,FALSE,25.37,Online,Online
Txn_94,Cust_7717,Prod_18,25-03-2024,5,99.17,276.63,Credit Card,1,5,Pending,"364 Hall Land Popeview, FL 74932",4.71,73.99,23-10-2024,16-05-2024,08-10-2024,21-09-2024,1.2,65,FALSE,25.37,In-Store,In-Store
Txn_95,Cust_4078,Prod_16,23-10-2024,1,19.77,19.77,Other,2,5,,"2949 Nathan Crescent Bethanyshire, VA 91100",7.45,33.15,23-10-2024,11-05-2024,23-02-2024,23-05-2024,3,50,TRUE,22.51,Online,Online
Txn_96,Cust_1803,Prod_14,11-09-2024,5,73.48,276.63,Online Payment,3,7.44,,"3741 Ellen Fall Port Steven, AL 02448",10.49,60.89,23-10-2024,27-09-2024,11-07-2024,28-02-2024,3,50,TRUE,39.78,Online,Online
Txn_97,Cust_1668,Prod_12,23-10-2024,5,50.53,276.63,Online Payment,3,2.92,Pending,"3938 Kevin Glens Port Christina, NJ 23250",7.45,95.52,22-09-2024,06-10-2024,19-03-2024,05-06-2024,1.8,56,FALSE,25.37,Other,
Txn_98,Cust_5685,Prod_42,23-10-2024,5,50.53,276.63,Cash,2,7.53,Completed,"057 Linda Via Vincenttown, LA 73818",9.76,49.88,26-06-2024,23-10-2024,17-05-2024,26-01-2024,3.2,50,FALSE,25.37,In-Store,In-Store
Txn_99,Cust_2757,Prod_25,16-08-2024,5,64.92,276.63,Credit Card,2,4.59,Completed,"8925 Simpson Shores Apt. 231 Jeanetteside, ND 00587",14.78,70.14,23-10-2024,20-01-2024,24-04-2024,16-08-2024,3,50,TRUE,25.13,In-Store,In-Store
Txn_100,Cust_3440,Prod_28,17-07-2024,9,50.53,276.63,Other,2,14.81,,"15445 Williams Field Dawnland, VI 84719",7.45,49.88,07-09-2024,23-10-2024,22-06-2024,05-07-2024,3,50,TRUE,22.84,Online,Online
Txn_101,Cust_1891,Prod_45,04-09-2024,3,5.46,16.38,Cash,2,15.73,Failed,"67545 James Shores Suite 198 Mariachester, TN 72705",3.16,3.5,23-10-2024,05-01-2024,23-09-2024,02-05-2024,1.6,50,FALSE,25.37,Online,Online
Txn_102,Cust_9057,Prod_15,23-10-2024,8,48.91,391.28,Online Payment,1,12.25,Completed,"599 Jeffrey Flat Apt. 485 North Ashleyshire, KY 26995",7.45,9.29,23-10-2024,02-03-2024,12-10-2024,28-07-2024,3,39,FALSE,25.37,Online,Online
