TransactionID,CustomerID,ProductID,TransactionDate,Quantity,PricePerUnit,TotalAmount,PaymentMethod,RegionID,Discount,TransactionStatus,ShippingAddress,ShippingCost,OrderNotes,RefundedAmount,ShippingDate,DeliveryDate,CreatedAt,UpdatedAt,ProductRating,LoyaltyPointsEarned,GiftCardUsed,GiftCardAmount,TransactionType
Txn_16,Cust_7490,Prod_7,2024-04-27,,,,Credit Card,2.0,,Completed,"2207 Owen Prairie Houstonbury, NH 74653",12.41,Present boy idea.,,,,2024-05-17,2024-03-06,2.7,23.0,True,,In-Store
Txn_17,Cust_3379,Prod_7,,,48.07,,Debit Card,3.0,,,"79676 Small Alley Corystad, KS 02268",4.96,Yard career truth.,57.07,,2024-05-27,2024-10-01,2024-07-25,,,True,,
Txn_18,Cust_7068,Prod_35,,2.0,,,,1.0,15.21,,"PSC 4180, Box 1147 APO AA 91064",5.86,Page interesting.,,2024-02-03,,2024-09-28,2024-06-26,2.0,41.0,True,,
Txn_19,Cust_3000,Prod_7,,,72.26,,,2.0,,Pending,"618 Scott Streets Suite 807 South Judith, CA 71345",7.7,Player sort process.,42.29,2024-08-22,,2024-09-25,2024-09-23,2.5,96.0,False,37.34,
Txn_20,Cust_3132,Prod_35,,2.0,,,Online Payment,1.0,10.94,Pending,"08782 Davis Gardens Juanhaven, IL 50761",12.64,,,2024-05-24,,2024-01-29,2024-02-25,,95.0,False,,In-Store
Txn_21,Cust_5966,Prod_9,2024-07-03,,,,Credit Card,1.0,15.47,Pending,"74115 Jessica Curve Jonesmouth, WV 74947",9.61,,28.23,,,2024-01-19,2024-04-28,,81.0,True,44.88,Online
Txn_22,Cust_1584,Prod_49,,,31.44,,Cash,2.0,,Failed,"PSC 7889, Box 4358 APO AA 45890",,Add determine.,,,,2024-05-18,2024-01-20,4.8,14.0,True,25.57,In-Store
Txn_23,Cust_3127,Prod_29,2024-04-11,2.0,34.4,68.8,Debit Card,1.0,-5.0,Failed,"48486 Stewart Valley Apt. 061 East Dakotaport, FM 55117",4.1,,,2024-09-09,2024-04-28,2024-09-25,2024-04-22,,91.0,True,,In-Store
Txn_24,Cust_6853,Prod_6,2024-04-10,,,,Credit Card,3.0,4.08,,"45088 Zachary Union Harrishaven, IL 32827",9.41,,55.89,2024-07-06,2024-06-25,2024-01-20,2024-08-24,,,False,26.61,In-Store
Txn_25,Cust_993,Prod_18,,10.0,,,Credit Card,3.0,-5.0,Failed,"48517 Roman Mountain Suite 164 New Mark, IL 96735",,Glass compare year.,49.81,,2024-08-13,2024-06-18,2024-04-16,4.0,,True,47.1,
Txn_26,Cust_4444,Prod_37,2024-10-09,,,,Cash,1.0,,,"2260 Vincent Lakes Suite 422 Krystalfurt, WV 98110",5.73,Act building talk.,,2024-04-01,2024-01-17,2024-08-29,2024-04-22,,14.0,False,29.85,In-Store
Txn_27,Cust_3996,Prod_13,2024-04-03,,,,Credit Card,1.0,,Pending,"825 Anna Passage Suite 850 Christyshire, GU 90622",14.44,Station school edge.,73.13,2024-06-03,,2024-09-15,2024-03-08,,,True,31.05,In-Store
Txn_28,Cust_1311,Prod_46,,,96.04,,Online Payment,3.0,-5.0,Failed,"1594 Theresa Tunnel Apt. 049 Wilsonbury, CT 69924",11.43,Several artist.,,2024-02-02,,2024-06-28,2024-02-07,1.9,,True,22.6,
Txn_29,Cust_1526,Prod_16,2024-09-30,3.0,,,Credit Card,1.0,14.14,Pending,"6630 Booker Loaf Kristatown, SD 61487",,Campaign project.,,,2024-01-29,2024-03-22,2024-07-18,,,False,,Online
Txn_30,Cust_1460,Prod_26,,,56.46,,Online Payment,2.0,-5.0,Failed,"895 Austin Shoal Derekshire, FM 01611",,,,2024-02-22,,2024-01-01,2024-09-24,,1.0,False,,In-Store
Txn_31,Cust_4502,Prod_35,,10.0,87.67,876.7,Cash,1.0,-5.0,Completed,"1638 Lee Trail Suite 554 South Brandon, MI 11372",5.21,Always project.,83.19,,2024-10-13,2024-09-27,2024-02-10,1.2,,True,,Online
Txn_32,Cust_3659,Prod_25,2024-02-18,,,,Debit Card,,-5.0,,"67933 Young Lodge Hicksfort, MN 80370",,,14.96,,2024-02-09,2024-05-07,2024-01-30,4.4,,False,12.63,In-Store
Txn_33,Cust_3161,Prod_32,2024-08-30,,,,Debit Card,3.0,1.67,Failed,"534 Hughes Mountains Apt. 070 Edwardsfort, ME 15766",1.35,,,2024-07-14,2024-02-13,2024-06-05,2024-10-06,,68.0,False,14.54,
Txn_34,Cust_5814,Prod_4,2024-10-11,,70.2,,Credit Card,3.0,15.42,Pending,"9766 Jimmy River Suite 314 Port Nathanielview, OR 19406",8.87,,44.65,2024-01-04,2024-04-03,2024-08-30,2024-05-15,1.2,,False,,
Txn_35,Cust_6649,Prod_2,,8.0,69.21,553.68,Cash,2.0,11.36,Completed,"2409 Miller Forge New Mercedesport, PR 62237",5.96,,90.92,,2024-03-22,2024-09-29,2024-08-03,4.4,,True,,In-Store
Txn_36,Cust_4378,Prod_6,,4.0,25.81,103.24,,3.0,0.32,Pending,"3814 Gutierrez Mills West Joseph, ID 22482",4.29,Off class data.,,2024-02-02,2024-09-28,2024-04-18,2024-04-22,1.0,,False,39.1,Online
Txn_37,Cust_720,Prod_45,,,,,Online Payment,2.0,9.49,Pending,"501 Powell Forges Apt. 085 New Aaron, MD 43679",6.87,Billion even seek.,49.58,2024-08-24,,2024-02-20,2024-02-04,4.8,99.0,True,26.79,In-Store
Txn_38,Cust_1141,Prod_20,2024-06-29,,37.88,,Credit Card,,9.65,Pending,"913 West Lights Suite 918 Barryview, MD 73877",,City sense.,37.24,2024-10-02,2024-08-09,2024-09-14,2024-01-02,2.1,,True,42.28,Online
Txn_39,Cust_1975,Prod_38,,3.0,,,Cash,,12.66,Completed,"13351 Powell Lodge Danielfurt, VA 28270",11.24,,,,2024-06-20,2024-01-31,2024-09-14,4.0,,True,13.86,
Txn_40,Cust_2784,Prod_34,,3.0,,,Online Payment,,-5.0,Completed,"1890 Garcia Falls Apt. 093 Thomasburgh, SD 27691",,Son fast west.,82.75,,2024-09-19,2024-02-07,2024-06-17,,,False,,
Txn_41,Cust_8053,Prod_34,2024-08-05,7.0,,,,3.0,,Pending,"432 Ralph Burg New Tracyton, MA 65026",3.36,,,2024-09-18,2024-03-28,2024-01-13,2024-07-20,4.1,29.0,False,7.6,
Txn_42,Cust_8082,Prod_23,,4.0,,,Cash,3.0,,Pending,"66784 Rachel Orchard Apt. 164 Kellerton, AZ 07480",7.0,Card teacher author.,,2024-04-21,2024-04-15,2024-03-07,2024-04-28,3.0,4.0,True,,Online
Txn_43,Cust_8633,Prod_48,,2.0,60.53,121.06,Online Payment,2.0,-5.0,,"9566 Michael Glens Suite 512 Lake Caleb, VI 89822",7.03,President able.,,,2024-10-03,2024-10-01,2024-10-08,3.9,,False,,Online
Txn_44,Cust_1492,Prod_1,,4.0,82.29,329.16,,1.0,17.2,,"859 Wall Summit Suite 880 Matthewmouth, MO 05343",,,,2024-04-15,2024-07-13,2024-05-08,2024-05-25,2.3,,False,16.54,
Txn_45,Cust_2189,Prod_25,2024-05-02,,82.5,,,3.0,0.64,Failed,"611 Rocha Via Suite 094 North Josephmouth, OK 78248",,,,2024-05-29,2024-09-21,2024-03-30,2024-08-17,,72.0,True,3.38,
Txn_46,Cust_6059,Prod_14,2024-09-02,,23.47,,,,-5.0,,"9514 Moreno Cliff Apt. 885 South Mark, NY 40691",,,10.82,,2024-08-04,2024-04-24,2024-08-26,1.1,,True,40.7,In-Store
Txn_47,Cust_3798,Prod_45,,3.0,17.06,51.17999999999999,Debit Card,2.0,,Failed,"206 Jay Well North Annaview, HI 51695",,Difference wear.,,,,2024-05-22,2024-04-25,4.2,25.0,False,20.57,Online
Txn_48,Cust_342,Prod_26,,,,,Online Payment,1.0,-5.0,Completed,"66277 David Roads Nicoleburgh, MD 21114",3.1,,,2024-06-02,,2024-08-30,2024-10-02,3.6,,True,34.39,Online
Txn_49,Cust_2744,Prod_26,2024-05-12,,11.53,,Debit Card,,-5.0,Completed,"1637 Johnston Locks Hallchester, GA 61916",13.44,,,,2024-09-17,2024-08-27,2024-04-06,,18.0,False,,Online
Txn_50,Cust_4718,Prod_27,2024-02-23,1.0,45.98,45.98,Debit Card,1.0,6.09,Pending,USNS Cannon FPO AA 56154,,,,2024-05-23,,2024-10-03,2024-01-28,,8.0,False,,In-Store
Txn_51,Cust_5852,Prod_39,,6.0,77.71,466.26,Cash,3.0,,Failed,"46210 Bianca Shoals North Melissaport, LA 09964",1.1,,84.0,,,2024-06-21,2024-04-29,4.9,,False,,
Txn_52,Cust_4834,Prod_46,,,,,Online Payment,3.0,1.81,Pending,"577 Wright Mountains Chasefurt, CO 51007",,Factor defense bag.,65.16,,2024-10-08,2024-09-05,2024-07-21,,,False,35.02,In-Store
Txn_53,Cust_6371,Prod_13,,8.0,,,Cash,3.0,16.18,Pending,"335 Shelby Oval Smithside, WI 78944",,,10.54,2024-05-07,2024-09-06,2024-04-26,2024-10-09,,,True,28.53,In-Store
Txn_54,Cust_3149,Prod_8,2024-08-21,,,,,1.0,,Completed,"049 Brandon Crest Suite 042 South Bryan, MO 58114",,,,,2024-09-21,2024-01-22,2024-03-13,,76.0,True,,Online
Txn_55,Cust_5953,Prod_20,,9.0,,,Cash,1.0,,Pending,"326 John Stream Apt. 811 West Lindaton, MH 88420",11.1,To cut or spring.,27.3,,,2024-06-28,2024-03-06,,,True,7.39,
Txn_56,Cust_2823,Prod_28,2024-06-09,,,,Cash,2.0,,Completed,"97222 Tanya Crossroad Suite 105 Susanmouth, MI 26662",,,,2024-06-18,2024-07-28,2024-05-29,2024-04-29,,,False,47.34,Online
Txn_57,Cust_8789,Prod_41,2024-06-19,2.0,,,Online Payment,3.0,13.46,Failed,"2121 Smith Mountains Suite 552 East Trevorville, CO 02512",,,,,,2024-06-01,2024-03-15,3.6,84.0,True,,Online
Txn_58,Cust_6619,Prod_27,2024-07-03,1.0,62.19,62.19,Online Payment,,,Completed,"40191 Young Fork Kellyview, MA 83492",,,70.54,,,2024-04-18,2024-09-26,,63.0,True,16.62,In-Store
Txn_59,Cust_6873,Prod_8,2024-05-03,,91.22,,Cash,3.0,-5.0,,"685 Carol Valley Rogersshire, PR 82167",5.59,,,,2024-03-08,2024-04-12,2024-06-08,1.3,62.0,False,,In-Store
Txn_60,Cust_200,Prod_21,,8.0,,,Debit Card,,,Completed,"424 Kathleen Passage Apt. 399 South Brenda, FL 81085",7.09,,3.05,,2024-02-15,2024-07-29,2024-05-02,1.7,16.0,True,,In-Store
Txn_61,Cust_6836,Prod_14,2024-08-06,8.0,19.31,154.48,Cash,3.0,,Pending,"PSC 9850, Box 5229 APO AE 63550",10.45,,55.24,,2024-02-13,2024-08-31,2024-08-22,,,True,23.88,In-Store
Txn_62,Cust_3571,Prod_45,2024-05-18,,65.19,,Credit Card,,,Pending,"41474 Melendez Pass Apt. 563 Butlerport, HI 01102",7.12,Support thus month.,90.31,,,2024-06-10,2024-05-04,,57.0,False,18.01,
Txn_63,Cust_9423,Prod_19,2024-09-14,6.0,21.74,130.44,Online Payment,1.0,,Pending,"71665 Donald Dale New Theresachester, NY 24903",,,74.18,,,2024-01-16,2024-02-16,,,True,36.39,
Txn_64,Cust_6898,Prod_24,2024-04-14,3.0,,,,2.0,,Completed,"5215 Laura Well East Julianside, NE 27462",6.12,A one give.,24.23,2024-02-12,2024-02-23,2024-09-27,2024-03-28,,,False,,Online
Txn_65,Cust_7420,Prod_11,2024-08-13,,50.53,,Cash,1.0,14.27,,"881 Hobbs View Bauerview, KY 83820",,,25.59,,,2024-02-25,2024-10-08,,57.0,True,28.41,
Txn_66,Cust_4595,Prod_24,,10.0,67.89,678.9,Debit Card,,,Completed,"PSC 3204, Box 0816 APO AP 81980",8.32,,60.52,2024-03-18,2024-03-04,2024-10-15,2024-08-02,,51.0,True,6.94,Online
Txn_67,Cust_4963,Prod_30,2024-03-25,,40.3,,Credit Card,1.0,-5.0,Completed,"457 Erica Forges Apt. 734 Sandersfurt, NH 56332",12.7,,,2024-06-25,2024-03-31,2024-07-26,2024-01-07,4.9,82.0,True,,Online
Txn_68,Cust_6524,Prod_36,,,82.35,,Online Payment,,4.42,Failed,"3403 Jennifer Camp Suite 121 New Jimmy, ID 52042",8.11,Become its our play.,84.33,,,2024-07-20,2024-03-07,4.6,55.0,False,,Online
Txn_69,Cust_8901,Prod_15,,,,,,2.0,19.4,Failed,"190 Watson Mills Tonyaland, NH 12859",4.84,,38.43,2024-07-21,,2024-07-03,2024-09-08,2.6,,False,9.05,In-Store
Txn_70,Cust_3420,Prod_48,,,,,Cash,,8.41,Failed,"94708 Sosa Locks Apt. 703 Sherryborough, MS 72506",0.77,Explain husband.,,2024-03-30,,2024-01-01,2024-09-04,,19.0,False,33.01,In-Store
Txn_71,Cust_2952,Prod_47,,,,,Debit Card,1.0,,Failed,"887 Martinez Rest Suite 782 Joshuamouth, WY 85170",14.58,,93.43,,2024-03-14,2024-02-22,2024-04-30,,,False,,In-Store
Txn_72,Cust_4478,Prod_19,2024-01-16,,,,Cash,,,,"43073 Simmons Terrace Suite 723 East Michael, WI 03558",,,57.87,2024-08-23,2024-01-28,2024-02-26,2024-03-15,,,True,,
Txn_73,Cust_2052,Prod_43,2024-01-16,,93.11,,,1.0,,Completed,"970 Brent Summit Apt. 133 Beanberg, CO 74393",4.4,,53.13,,2024-05-14,2024-07-11,2024-04-19,,93.0,True,,Online
Txn_74,Cust_67,Prod_19,2024-06-02,9.0,52.08,468.71999999999997,Online Payment,3.0,-5.0,Completed,"888 Joseph Mill Suite 710 North Michael, SD 64233",1.83,,69.72,,,2024-02-20,2024-05-22,,36.0,True,,In-Store
Txn_75,Cust_7310,Prod_17,,,9.55,,Cash,2.0,-5.0,Pending,"150 Cameron Rue New Russellland, LA 19207",,Cut significant.,,2024-10-01,2024-08-26,2024-06-18,2024-09-22,3.6,71.0,True,14.16,In-Store
Txn_76,Cust_5359,Prod_43,2024-05-28,4.0,,,Credit Card,2.0,,Pending,"PSC 9243, Box 9358 APO AE 67101",12.2,Action single.,,,,2024-07-12,2024-01-29,4.1,,False,18.66,Online
Txn_77,Cust_1208,Prod_3,2024-02-10,,,,Credit Card,3.0,9.24,,Unit 7367 Box 3974 DPO AA 76399,9.87,I oil recent.,49.37,,,2024-01-27,2024-10-08,1.0,,False,,In-Store
Txn_78,Cust_5332,Prod_30,2024-03-18,5.0,46.73,233.64999999999998,,3.0,,Completed,"118 Nelson Drive West Ruthview, HI 92902",,,,2024-02-05,2024-01-18,2024-07-22,2024-08-26,,31.0,True,44.94,In-Store
Txn_79,Cust_281,Prod_6,2024-01-20,,,,Debit Card,2.0,-5.0,Pending,"097 Derrick Springs Suite 313 South David, PR 38624",,Throw participant.,,,,2024-01-16,2024-03-13,,0.0,True,10.42,In-Store
Txn_80,Cust_3482,Prod_12,2024-08-29,9.0,58.57,527.13,,3.0,,Completed,Unit 0989 Box 8514 DPO AP 70346,14.24,,,2024-06-23,2024-06-02,2024-09-22,2024-08-30,3.3,88.0,False,,Online
Txn_81,Cust_5790,Prod_42,,9.0,38.81,349.29,Cash,3.0,,Failed,"2472 Huynh Parkway Stanleyborough, WI 73945",14.98,,,2024-06-18,2024-04-30,2024-09-04,2024-02-06,3.4,,False,,
Txn_82,Cust_3051,Prod_24,,1.0,,,Cash,,-5.0,Failed,"20848 Guerra Plains Apt. 311 North Jimmy, CA 96971",,,,,2024-09-19,2024-08-11,2024-01-09,,,True,,Online
Txn_83,Cust_3695,Prod_12,2024-08-11,,24.96,,,3.0,16.54,Completed,"27837 Webb Avenue Suite 628 Gonzalezstad, RI 99366",,,88.53,2024-09-27,,2024-09-14,2024-04-20,4.8,,True,44.71,In-Store
Txn_84,Cust_6875,Prod_11,2024-07-11,2.0,70.92,141.84,Credit Card,3.0,,,"7142 Burke Ways Suite 328 Allisonmouth, MS 46906",13.05,Read example.,,2024-02-23,,2024-06-05,2024-09-03,,,True,16.82,In-Store
Txn_85,Cust_1166,Prod_38,2024-05-20,,32.43,,Credit Card,2.0,-5.0,Completed,"0621 Brian Neck Suite 044 Amandachester, DC 81874",14.35,Particular art.,81.6,2024-05-01,2024-08-12,2024-03-22,2024-02-23,,,True,17.44,
Txn_86,Cust_4748,Prod_39,,8.0,81.71,653.68,Debit Card,,,Pending,"7844 Sally Bypass Suite 711 East Paula, CO 13314",,,,,2024-03-21,2024-03-01,2024-04-02,,83.0,False,,Online
Txn_87,Cust_4375,Prod_22,,9.0,50.33,452.96999999999997,Cash,2.0,-5.0,,"5497 David Plaza Suite 079 New Pamelaport, MA 35960",5.2,,,2024-02-15,2024-10-04,2024-10-05,2024-01-30,1.9,48.0,False,3.93,
Txn_88,Cust_706,Prod_40,2024-01-17,,63.38,,Cash,1.0,9.3,,"292 Jackson Mount Suite 944 North Kevinmouth, PW 26869",13.8,Couple thing.,,,2024-09-29,2024-09-12,2024-01-05,,,True,9.88,
Txn_89,Cust_7802,Prod_31,,,5.25,,Credit Card,,,Failed,"466 Christy Plains West Aaronborough, AL 70939",7.14,Yet song sure not.,,,2024-02-13,2024-01-15,2024-07-21,,,False,37.35,Online
Txn_90,Cust_269,Prod_48,,,57.71,,,1.0,-5.0,Failed,"13198 Alexander Hollow Apt. 381 Martinburgh, GA 33848",,Price card mouth.,,2024-08-13,,2024-05-11,2024-02-29,,,False,,
Txn_91,Cust_9768,Prod_18,,,71.07,,Online Payment,,7.59,Completed,"9143 Webb Viaduct Suite 840 New Michaelmouth, IL 69325",,,87.47,2024-02-13,2024-05-11,2024-04-24,2024-02-27,1.2,72.0,True,25.82,
Txn_92,Cust_8086,Prod_30,2024-03-07,,,,Online Payment,1.0,10.58,Completed,"34990 Richard Plain Suite 213 West Danielmouth, NY 94277",3.66,,,2024-06-10,,2024-06-06,2024-03-27,2.2,23.0,True,,In-Store
Txn_93,Cust_5812,Prod_50,,,,,Online Payment,1.0,16.66,Failed,USS Williams FPO AE 78397,,Store everyone.,56.07,2024-02-16,,2024-01-04,2024-01-28,4.3,14.0,False,,Online
Txn_94,Cust_7717,Prod_18,2024-03-25,,99.17,,Credit Card,1.0,-5.0,Pending,"364 Hall Land Popeview, FL 74932",4.71,Put knowledge right.,73.99,,2024-05-16,2024-10-08,2024-09-21,1.2,65.0,False,,In-Store
Txn_95,Cust_4078,Prod_16,,1.0,19.77,19.77,,2.0,-5.0,,"2949 Nathan Crescent Bethanyshire, VA 91100",,,33.15,,2024-05-11,2024-02-23,2024-05-23,,,True,22.51,Online
Txn_96,Cust_1803,Prod_14,2024-09-11,,73.48,,Online Payment,3.0,7.44,,"3741 Ellen Fall Port Steven, AL 02448",10.49,Computer scientist.,60.89,,2024-09-27,2024-07-11,2024-02-28,,,True,39.78,Online
Txn_97,Cust_1668,Prod_12,,5.0,,,Online Payment,3.0,2.92,Pending,"3938 Kevin Glens Port Christina, NJ 23250",,,95.52,2024-09-22,2024-10-06,2024-03-19,2024-06-05,1.8,56.0,False,,
Txn_98,Cust_5685,Prod_42,,,,,Cash,,,Completed,"057 Linda Via Vincenttown, LA 73818",9.76,Share nation travel.,,2024-06-26,,2024-05-17,2024-01-26,3.2,,False,,In-Store
Txn_99,Cust_2757,Prod_25,2024-08-16,,64.92,,Credit Card,,4.59,Completed,"8925 Simpson Shores Apt. 231 Jeanetteside, ND 00587",14.78,Tree big factor.,70.14,,2024-01-20,2024-04-24,2024-08-16,,,True,25.13,In-Store
Txn_100,Cust_3440,Prod_28,2024-07-17,9.0,,,,2.0,14.81,,"15445 Williams Field Dawnland, VI 84719",,,,2024-09-07,,2024-06-22,2024-07-05,,,True,22.84,Online
Txn_101,Cust_1891,Prod_45,2024-09-04,3.0,5.46,16.38,Cash,,15.73,Failed,"67545 James Shores Suite 198 Mariachester, TN 72705",3.16,,3.5,,2024-01-05,2024-09-23,2024-05-02,1.6,50.0,False,,Online
Txn_102,Cust_9057,Prod_15,,8.0,48.91,391.28,Online Payment,1.0,12.25,Completed,"599 Jeffrey Flat Apt. 485 North Ashleyshire, KY 26995",,Scientist even term.,9.29,,2024-03-02,2024-10-12,2024-07-28,,39.0,False,,Online
Txn_103,Cust_4366,Prod_25,2024-06-10,2.0,46.47,92.94,Cash,2.0,,Failed,"68540 Campbell Squares Suite 444 North Mark, RI 16812",2.49,,,2024-05-19,2024-04-15,2024-07-06,2024-03-27,2.1,,False,,In-Store
Txn_104,Cust_9134,Prod_23,,,97.37,,Cash,3.0,-5.0,,"824 Robert Underpass South Madelinehaven, NV 17177",,Behavior kind low.,85.66,2024-07-28,,2024-02-02,2024-07-11,,,False,,
Txn_105,Cust_654,Prod_25,2024-03-14,,54.08,,Credit Card,,15.32,Failed,"967 Brown Club Suite 578 Shannonport, NC 18894",,Defense kind.,42.13,,,2024-02-19,2024-06-18,,,True,10.71,
Txn_106,Cust_9190,Prod_15,,,27.93,,Cash,2.0,-5.0,,USNS Martinez FPO AE 53158,0.88,Official ball.,,,2024-01-27,2024-03-19,2024-09-20,4.7,88.0,False,,In-Store
Txn_107,Cust_8062,Prod_11,,10.0,,,Cash,3.0,,,"1110 Chad Locks Wendytown, GU 48802",8.47,,,,,2024-02-10,2024-01-14,1.5,,True,,In-Store
Txn_108,Cust_81,Prod_14,2024-07-11,,,,Cash,2.0,-5.0,Pending,"190 Hall Stravenue Sandrafurt, OH 41215",0.62,Entire job visit.,,2024-03-23,2024-09-01,2024-03-30,2024-01-20,,13.0,True,44.88,In-Store
Txn_109,Cust_2444,Prod_18,,1.0,,,Online Payment,1.0,4.7,,"635 Thomas Harbors Karashire, VI 40032",5.01,,80.01,2024-03-23,2024-04-11,2024-03-18,2024-02-23,1.4,,False,26.88,
Txn_110,Cust_2520,Prod_2,2024-01-19,7.0,,,Cash,2.0,0.99,,"2701 Martinez Square Apt. 366 Claudiahaven, VT 18147",9.56,Business happen.,8.28,,2024-09-20,2024-05-10,2024-01-04,3.2,26.0,False,18.06,In-Store
Txn_111,Cust_3195,Prod_43,2024-07-02,8.0,36.36,290.88,Online Payment,,7.68,Pending,"486 Bates Gateway Lake Kimberlyburgh, VT 07382",11.92,Seven region assume.,15.3,,,2024-07-31,2024-01-13,1.5,77.0,False,,Online
Txn_112,Cust_8205,Prod_6,2024-03-24,8.0,54.23,433.84,Debit Card,2.0,-5.0,,"568 Morris Parks New Cynthia, DE 35590",14.58,,,,,2024-05-14,2024-09-08,2.0,81.0,False,,Online
Txn_113,Cust_7182,Prod_50,,,,,Debit Card,1.0,-5.0,Completed,"43938 Jones Via Suite 271 Elainebury, PA 84395",7.06,Now toward firm.,77.81,,,2024-04-18,2024-08-24,,,False,1.6,
Txn_114,Cust_206,Prod_44,,,70.2,,,,-5.0,,"84162 Nancy Prairie Kingburgh, VA 26209",2.42,,52.61,2024-07-12,2024-07-26,2024-05-16,2024-07-27,,,False,,In-Store
Txn_115,Cust_6884,Prod_23,2024-08-25,,,,Cash,3.0,-5.0,Completed,"2330 Gregory Fort Lake Christopherbury, MA 22336",,Cup including thus.,,,,2024-06-13,2024-09-14,,,False,,In-Store
Txn_116,Cust_3863,Prod_5,,,,,Cash,2.0,-5.0,Pending,"1834 Kim River Atkinsonside, ND 97691",,Next history indeed.,69.29,,,2024-01-10,2024-03-18,4.4,,True,,In-Store
Txn_117,Cust_5673,Prod_28,,,,,Cash,1.0,13.24,,"823 Thomas Key Jeffreyton, NJ 40564",,Finish director.,19.03,,2024-05-02,2024-04-12,2024-10-05,4.3,,True,4.12,Online
Txn_118,Cust_3831,Prod_26,,,,,Online Payment,1.0,12.4,Failed,"608 Ryan Mews Kimberlyshire, FL 01035",10.38,,74.69,2024-01-22,,2024-06-19,2024-10-04,,,True,2.72,Online
Txn_119,Cust_7407,Prod_27,2024-04-10,,,,Debit Card,,-5.0,Failed,"4108 Dawson Passage North Brandonshire, ND 87777",3.5,,,,2024-05-09,2024-01-28,2024-03-12,2.0,,False,37.63,
